悪, ア ク オ, わ る い わ る - ア し オ, ア ク オ る るPhó; Ác quỷ; sai; tà ác; sai rồi
安, ア ン, ア ン, ア ン, ア ン ン, ア ン ン ン ン ン ン, thư giãn; Rẻ; Thấp; Yên tĩnh; Nghỉ ngơi; Hài lòng; bình yên
以, イ, も っ て, bằng phương tiện; bởi vì; theo quan điểm của; so sánh với
意, イ ,, ý tưởng; lí trí; tim; nếm thử; nghĩ; khao khát; quan tâm; Thích
医, イ, い や す い す る く す し, bác sĩ; dược phẩm
員, イ ン ,, nhân viên; hội viên; con số; Người phụ trách
飲, イ ン オ ン, の む, uống; hút thuốc lá; lấy
院, イ ン ,, Inst ;; Tổ chức; ngôi đền; Biệt thự; trường học
運, ウ ン, は こ ぶ, mang; May mắn; định mệnh; số phận; nhiều; vận chuyển; tiến độ; nâng cao
映, エ イ, う つ る う つ す は え る, phản ánh; Phản xạ; Chiếu
英, エ イ, は な ぶ さ, Anh; Anh
駅, エ キ ,, station
屋, オ ク, や, mái; nhà ở; cửa tiệm; người buôn bán; Người bán
音, オ ン イ ン, お と ね, âm thanh; tiếng ồn
夏, カ ガ ゲ, な つ, mùa hè
家, カ ケ, い え や う ち, nhà; nhà
歌, カ, う た う た う, bài hát; hát
花, カ ケ, は な, Hoa
画, ガ カ ク エ カ イ, ガ が く か く イ イ る る る る る, đánh chổi; hình ảnh
会, カ イ エ, あ う あ わ せ る, cuộc họp; gặp; buổi tiệc; Hiệp hội; phỏng vấn; tham gia
海, カ イ, う み, biển; đại dương
界, カ イ ,, thế giới
開, カ イ, ひ ら ら く く あ イ, mở; Mở ra; Tháo ra
楽, ガ ク ラ ク ゴ ウ, ガ ク ク ラ ク ゴ ウ, âm nhạc; Thoải mái; giảm bớt
漢, カ ン ,, Trung-; Trung Quốc
館, カ ン, や か た た て, xây dựng; Biệt thự; Tòa nhà lớn; cung điện
帰, キ, キ, か え キ キ キ, か え キ キ つ ぐ, trở về nhà; Đến; dẫn đến; kết quả là
