愛, ア イ, い と し い, tình yêu; Tình cảm; Yêu thích
圧, ア ツ エ ン オ ウ, áp lực; đẩy; Quá tải; Áp bức; thống trị
暗, ア ン, く ら い, bóng tối; Biến mất; bóng râm; không chính thức; Phát triển tối; Bị mù
位, イ, く ら い ぐ ら い, xếp hạng; cấp; Ngai; Vương miện; trong khoảng; một số
依, イ エ, よ る, phụ thuộc; phụ thuộc vào; hậu quả là; vì thế; Do
偉, イ, え ら い, đáng ngưỡng mộ; Sự vĩ đại; Đáng chú ý; kiêu ngạo; nổi danh; Xuất sắc
囲, イ, か こ こ む か こ, bao quanh; vây; cửa hàng; Paling; bao vây; bao vây; Bảo quản; giữ
委, イ, ゆ だ ね る, ủy ban; Ủy thác cho; Để lại; Cống hiến; Loại bỏ
易, エ キ イ, や さ し い や す い, dễ dàng; bói; sẵn sàng để; đơn giản; thuật bói toán
移, イ, う つ る う つ す, thay đổi; Di chuyển; thay đổi; Trôi dạt; Bắt (lửa lạnh); Vượt qua
胃, イ ,, dạ dày; Paunch; mùa vụ; Thu thập thông tin
衣, イ エ, こ ろ も き ぬ, hàng may mặc; quần áo; Cách ăn mặc
違, イ, ち, ち が う ち た う る, sự khác biệt; Khác nhau
域, イ キ ,, range; khu vực; Giới hạn; sân khấu; cấp độ
育, イ ク, そ だ つ ク ク, そ ク む, lớn lên; nâng cao; Phía sau
印, イ ン, し る し し る す, tem; niêm phong; dấu; Dấu ấn; ký hiệu; Biểu tượng; Thương hiệu; chứng cớ; quà lưu niệm; Ấn Độ
因, イ ン, よ る ち な む, nguyên nhân; hệ số; Được liên kết với; phụ thuộc vào; Được giới hạn ở
引, イ ン, ひ く ひ き ひ き - ひ け る, kéo; sự kéo mạnh; Jerk; Thừa nhận; cài đặt, dựng lên; Trích dẫn; Tham khảo
宇, ウ, vách; mái nhà; nhà ở; Thiên đường
羽, ウ, は わ は ね, lông vũ; Truy cập cho thỏ chim
雲, ウ ン, く も, đám mây
営, エ イ, い と な む い と な み, nghề nghiệp; trại; biểu diễn; xây dựng; tiến hành kinh doanh)
栄, エ イ ヨ ウ, さ か え る は え え, nở rộ; sự phồn thịnh; tôn vinh; Vinh quang; Huy hoàng
永, エ イ, な が い, vĩnh hằng; Dài; dài dòng
泳, エ イ, お よ ぐ, bơi
鋭, エ イ, す る ど い, chỉ; Độ sắc nét; cạnh; Vũ khí; nhọn; hung bạo
液, エ キ ,, chất lỏng; chất lỏng; Nước ép; nhựa cây; Bài tiết
越, エ ツ オ ツ, こ す こ え る, vượt qua; Vượt qua; chuyển tới; quá; Việt Nam
園, エ ン, そ の, công viên; vườn; sân; nông trại
延, エ ン, の び る の べ べ ン, kéo dài; Kéo dài
演, エ ン ,, hiệu suất; Hành động; chơi; Render; sân khấu
煙, エ, 煙, け, け, け, け, け む る, hút thuốc lá
遠, エ ン オ ン, と お い xa; xa
塩, エ ン, し お, muối
汚, オ, オ, け が が が が. ô uế; Hổ thẹn; Hãm hiếp; Làm ô uế
央, オ ウ ,, trung tâm; ở giữa
奥, オ ウ オ ク, お く ま る く ま, trái tim; Nội địa
押, オ ウ, お す お し - お っ - お さ え る し お, đẩy; dừng lại; Kiểm tra; Hạ mình; Đính kèm; Tịch thu; cân nặng; xô; nhấn; niêm phong; Làm bất chấp
横, オ ウ, よ こ, nghiêng; bên; Ngang; chiều rộng; Woof
欧, オ ウ, う た う は く, châu Âu
王, オ ウ ,, vua; qui định; Anh hùng
黄, コ ウ オ ウ, き こ - màu vàng
億, オ ク ,, trăm triệu đồng; 10 ** 8
温, オ ン, あ た ン, あ ン ン, あ ン ン, あ ン ン, あ ン ン ン ン, ấm
化, カ ケ, ば ケ, ば ケ, ば ケ, ば ケ ケ, thay đổi; Dưới hình thức; Ảnh hưởng; Enchant; Lừa dối; Sự hoá
加, カ, く わ え る く わ わ る, thêm; thêm vào; tăng; tham gia; Bao gồm; Canada
可, カ コ ク ,, có thể; Khá; Mustnt; không nên; đừng
科, カ ,, bộ phận; khóa học; phần
果, カ, は た す は た す は て る は て, quả; phần thưởng; thực hiện; Hoàn thành; hoàn thành; kết thúc; hoàn thành; Thành công
河, カ, か わ, sông
荷, カ, に, hành lý; Tải vai cực; Chịu gánh nặng; Vai (súng); Tải; Hàng hóa; Vận chuyển
菓, カ ,, kẹo; Bánh; trái cây
課, カ ,, chương; bài học; phần; Bộ phận; Phân chia; Truy cập các chương (của một cuốn sách)
貨, カ ,, cước vận chuyển; Các mặt hàng; bất động sản
過, カ, す, す ぎ る あ ご ま ち, quá mức; quá; Đi xa hơn; lỗi
介, カ イ ,, kẹt trong; Động vật có vỏ; trung gian; Quan tâm với
解, カ イ ゲ, カ ゲ ゲ ゲ ゲ ゲ ゲ ゲ ゲGhi chú; Chìa khóa; giải trình; Hiểu biết; Tháo gỡ; hủy bỏ; giải quyết; câu trả lời; Hủy; Tha thứ; Giải thích; phút
回, カ イ エ, ま わ る ま わ す - も と お る か え る, -times; tròn; Trò chơi; xoay quanh; Truy cập cho các sự cố
快, カ イ, こ こ ろ よ い, vui vẻ; Dễ chịu; Dễ chịu; Thoải mái
改, カ イ, あ ら た め る あ ら た ま る, cải cách; thay đổi; Sửa đổi; Sửa chữa; thay mới; xem xét; thanh tra; Tìm kiếm
械, カ イ, か せ, contraption; Kiết; máy móc; Dụng cụ
灰, カ イ, は い, tro; Nước ép vịt; Hỏa táng
皆, カ イ, み な み ん な, tất cả; mọi điều
絵, カ イ エ ,, hình ảnh; Bản vẽ; bức vẽ; Phác hoạ
階, カ イ, き ざ は し, tầng; cầu thang; Quầy cho tầng của một tòa nhà
貝, バ イ, か い, động vật có vỏ
害, ガ イ ,, hại; chấn thương
各, カ ク, お の お の, mỗi; mỗi; hoặc
格, カ ク コ ウ キ ャ ク ゴ ウ ,, trạng thái; cấp; sức chứa; tính cách; Trường hợp (pháp luật ngữ pháp)
確, カ ク コ ウ, た し か た し か め る, đảm bảo; chắc chắn; Chặt chẽ; cứng; chất rắn; xác nhận; trong sáng; hiển nhiên
覚, カ ク, カ ク, カ ク, カ ク, カ ク ク, カ ク ク, nhớ; học hỏi; nhớ lại; thức tỉnh; tỉnh rượu
角, カ ク, か ど つ の, góc; góc; Quảng trường
革, カ ク, か わ, da; Trở nên nghiêm trọng; da; ẩn giấu; Làm da
額, ガ ク, ひ た い, trán; máy tính bảng; Mảng bám; Khung hình; Tổng; Số lượng; âm lượng
掛, カ イ ケ イ, か イ ケ イ, か イ ケ イ, treo; Đình chỉ; tùy theo; Đến; Thuế; Đổ
割, カ ツ, わ る わ り わ り ツ, tỷ trọng; Tương đối; chia; cắt tỉa; tách rời; Phân chia
活, カ ツ, い き る い か す い け る, sinh động; Hồi sức; Được giúp đỡ; Sống
乾, カ ン ケ ン, か ン ケ ン, か ン ン ン ン, hạn hán; khô; Dessicate; nốc cạn ly; Thiên đường; Hoàng đế
寒, カ ン, さ む い, lạnh
刊, カ ン ,, xuất bản; khắc chạm; Chạm khắc
巻, カ ン ケ ン, ま く ま き ま き, di chuyển; âm lượng; sách; phần; Cuộn lên; Gió lên; cà vạt; xôn xao; Bộ đếm văn bản (trên cuộn sách)
